id;nombre;descripcion;fecha_creacion;fecha_modificacion;usuario_creacion;usuario_modificacion
1;whose brr;sundae trust;2025-12-06T09:19:43;2025-12-06T00:53:15;of soon whisper;incidentally
2;before generally comb;at;2025-12-06T14:13:40;2025-12-06T05:20:05;tensely coop;gee happy
3;until;a delightfully;2025-12-06T18:04:42;2025-12-05T19:58:50;yieldingly;ham bah far
4;grandpa;before;2025-12-06T18:10:21;2025-12-06T01:11:05;artistic verbally;given elevation atop
5;duh till colonialism;fill mechanic;2025-12-06T02:45:12;2025-12-06T03:30:20;last mismatch per;ferociously pave fooey
6;silently furthermore;reconstitute stark;2025-12-06T16:41:23;2025-12-06T08:10:52;consequently;woefully certainly
7;obnoxiously;dreamily educated innovate;2025-12-06T02:08:29;2025-12-06T02:55:25;seldom rightfully;wherever
8;round failing machine;ugh ah seldom;2025-12-06T01:17:01;2025-12-06T11:38:48;during;generally er finished
9;waist per present;where expert pretend;2025-12-06T18:59:41;2025-12-06T08:58:25;vastly or;beard
10;surprise straight adumbrate;jazz;2025-12-05T20:35:37;2025-12-06T15:15:48;that gulp suffocate;access
