id;tipo;cantidad;referencia;fecha_movimiento;fecha_creacion;fecha_modificacion;usuario_creacion;usuario_modificacion
1;AJUSTE;26416.97;knottily;2025-12-06T12:38:21;2025-12-05T20:51:46;2025-12-06T11:09:22;ew promptly frizzy;brood ack
2;ENTRADA;3705.41;academics alive angrily;2025-12-06T12:33:17;2025-12-06T18:29:35;2025-12-06T11:31:44;between how;venture
3;AJUSTE;10038.66;skeletal quiet;2025-12-06T03:50:31;2025-12-06T13:56:15;2025-12-06T17:34:08;dead;eek quizzically international
4;SALIDA;14516.18;nor outside nimble;2025-12-06T02:04:06;2025-12-06T16:04:57;2025-12-06T01:08:21;off;enormously nor instance
5;TRANSFERENCIA;22601.18;onto;2025-12-05T20:58:36;2025-12-06T13:20:46;2025-12-06T18:13:28;midst;jubilantly woot sense
6;TRANSFERENCIA;3227.67;live huzzah;2025-12-06T00:27:33;2025-12-06T04:36:10;2025-12-06T06:19:15;snow;what
7;AJUSTE;25070.93;towards across shirk;2025-12-06T14:33:32;2025-12-06T12:50:00;2025-12-06T13:51:48;outset yuck;finally descent analogy
8;TRANSFERENCIA;16970.01;tough well-off eek;2025-12-06T12:59:52;2025-12-05T22:13:35;2025-12-06T08:21:51;hollow ack;however schedule
9;AJUSTE;25689.33;adventurously ameliorate readies;2025-12-06T11:45:07;2025-12-06T09:27:29;2025-12-06T09:31:58;dreary how marimba;degrease meanwhile possible
10;TRANSFERENCIA;13199.77;unfinished;2025-12-06T17:04:45;2025-12-06T02:27:03;2025-12-05T22:21:14;culture happy-go-lucky;considering well-off aha
