id;sku;nombre;peso_por_unidad_kg;volumen_por_unidad_l;fecha_creacion;fecha_modificacion;usuario_creacion;usuario_modificacion
1;what cemetery instead;boohoo;1035.7;4531.94;2025-12-06T18:46:32;2025-12-06T17:11:04;carefully underachieve accept;overburden
2;fortunately worth excluding;precedent until terribly;9048.59;27944.52;2025-12-06T01:06:09;2025-12-06T11:02:23;oof;prestigious encouragement
3;communicate simplistic;minister but;21229.68;15761.4;2025-12-06T05:10:25;2025-12-06T14:47:30;warmly easy;chairperson where
4;when elegantly equal;emboss validity whereas;16174.61;28095.8;2025-12-05T21:11:14;2025-12-05T22:49:10;ick;muffled sophisticated
5;rudely fully underachieve;wrongly;6827.51;19084.61;2025-12-05T20:47:39;2025-12-06T14:08:18;wherever deliquesce;whoever
6;noxious scratchy suspiciously;yahoo tackle;1443.57;3126.24;2025-12-06T16:49:24;2025-12-06T17:52:09;woot;daily inferior
7;alert inside characterization;along oddball;17528.82;15735.54;2025-12-06T04:34:40;2025-12-06T07:37:14;er;talkative meh briefly
8;which;usually lashes;20232.17;7566.98;2025-12-05T21:26:55;2025-12-06T17:58:59;duh;safeguard haul
9;although bell supposing;meanwhile cow astride;18462.47;6491.44;2025-12-06T10:26:46;2025-12-06T18:21:29;furthermore;concerned
10;secrecy ascertain;rebound joy;11834.91;6798.42;2025-12-06T12:13:30;2025-12-06T18:34:02;fundraising ajar;too brochure uh-huh
